HouseID,Round,City,CAS,Compound,Date_collect,Adj_ppbV,Lon,Lat,CensusTract
H01,1,Beaumont,71-43-2,Benzene,2024-11-12,0.135,-94.168784,30.152006,48245000102
H01,1,Beaumont,108-88-3,Toluene,2024-11-12,0.12,-94.168784,30.152006,48245000102
H01,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.105,-94.168784,30.152006,48245000102
H01,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.205,-94.168784,30.152006,48245000102
H01,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.105,-94.168784,30.152006,48245000102
H02,1,Beaumont,71-43-2,Benzene,2024-11-12,0.125,-94.128362,30.061793,48245002100
H02,1,Beaumont,108-88-3,Toluene,2024-11-12,0.84,-94.128362,30.061793,48245002100
H02,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.1,-94.128362,30.061793,48245002100
H02,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.19,-94.128362,30.061793,48245002100
H02,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.128362,30.061793,48245002100
H03,1,Beaumont,71-43-2,Benzene,2024-11-12,0.12,-94.163967,30.080522,48245000306
H03,1,Beaumont,108-88-3,Toluene,2024-11-12,0.4,-94.163967,30.080522,48245000306
H03,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.095,-94.163967,30.080522,48245000306
H03,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.185,-94.163967,30.080522,48245000306
H03,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.163967,30.080522,48245000306
H05,1,Beaumont,71-43-2,Benzene,2024-11-12,0.12,-94.159639,30.099939,48245000311
H05,1,Beaumont,108-88-3,Toluene,2024-11-12,0.28,-94.159639,30.099939,48245000311
H05,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.095,-94.159639,30.099939,48245000311
H05,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.19,-94.159639,30.099939,48245000311
H05,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.159639,30.099939,48245000311
H06,1,Beaumont,71-43-2,Benzene,2024-11-12,0.27,-94.092144,30.051287,48245002400
H06,1,Beaumont,108-88-3,Toluene,2024-11-12,0.95,-94.092144,30.051287,48245002400
H06,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.085,-94.092144,30.051287,48245002400
H06,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.17,-94.092144,30.051287,48245002400
H06,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.092144,30.051287,48245002400
H07,1,Beaumont,71-43-2,Benzene,2024-11-12,0.55,-94.091608,30.059965,48245001900
H07,1,Beaumont,108-88-3,Toluene,2024-11-12,0.41,-94.091608,30.059965,48245001900
H07,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.08,-94.091608,30.059965,48245001900
H07,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.155,-94.091608,30.059965,48245001900
H07,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.08,-94.091608,30.059965,48245001900
H08,1,Beaumont,71-43-2,Benzene,2024-11-12,0.1,-94.126111,30.06243,48245002100
H08,1,Beaumont,108-88-3,Toluene,2024-11-12,0.32,-94.126111,30.06243,48245002100
H08,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.08,-94.126111,30.06243,48245002100
H08,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.155,-94.126111,30.06243,48245002100
H08,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.075,-94.126111,30.06243,48245002100
H09,1,Beaumont,71-43-2,Benzene,2024-11-12,0.105,-94.114602,30.123739,48245000700
H09,1,Beaumont,108-88-3,Toluene,2024-11-12,0.36,-94.114602,30.123739,48245000700
H09,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.39,-94.114602,30.123739,48245000700
H09,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.65,-94.114602,30.123739,48245000700
H09,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.22,-94.114602,30.123739,48245000700
H10,1,Beaumont,71-43-2,Benzene,2024-11-12,0.13,-94.107323,30.061729,48245002000
H10,1,Beaumont,108-88-3,Toluene,2024-11-12,0.58,-94.107323,30.061729,48245002000
H10,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.1,-94.107323,30.061729,48245002000
H10,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.2,-94.107323,30.061729,48245002000
H10,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.1,-94.107323,30.061729,48245002000
H11,1,Beaumont,71-43-2,Benzene,2024-11-12,0.3,-94.109694,29.940931,48245011304
H11,1,Beaumont,108-88-3,Toluene,2024-11-12,0.72,-94.109694,29.940931,48245011304
H11,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.09,-94.109694,29.940931,48245011304
H11,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.175,-94.109694,29.940931,48245011304
H11,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.109694,29.940931,48245011304
H12,1,Beaumont,71-43-2,Benzene,2024-11-12,0.25,-94.152813,30.140909,48245000200
H12,1,Beaumont,108-88-3,Toluene,2024-11-12,0.29,-94.152813,30.140909,48245000200
H12,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.09,-94.152813,30.140909,48245000200
H12,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.175,-94.152813,30.140909,48245000200
H12,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.09,-94.152813,30.140909,48245000200
H14,1,Beaumont,71-43-2,Benzene,2024-11-12,0.21,-94.135127,30.052512,48245002200
H14,1,Beaumont,108-88-3,Toluene,2024-11-12,0.7,-94.135127,30.052512,48245002200
H14,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.08,-94.135127,30.052512,48245002200
H14,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.15,-94.135127,30.052512,48245002200
